This is a training script for a diffusion model on brain MRI slices. It discovers thin subjects, preprocesses volumes, builds a disk cache of slices, and trains a UNet-based diffusion model using PyTorch and W&B for logging.
/workspace/Brats/venv/lib/python3.12/site-packages/nibabel/optpkg.py:104: UserWarning: A NumPy version >=1.22.4 and <2.3.0 is required for this version of SciPy (detected version 2.4.3)
  pkg = __import__(name, fromlist=fromlist)
<frozen importlib._bootstrap_external>:1297: FutureWarning: The cuda.cudart module is deprecated and will be removed in a future release, please switch to use the cuda.bindings.runtime module instead.
21:56:41 | INFO | Log file : /workspace/Brats/logs/train_base_model_20260404_215641.log
21:56:41 | INFO | Data root: /workspace/Brats/brain_only
21:56:41 | INFO | Device   : cuda | PyTorch: 2.11.0+cu128
21:56:48 | INFO | Cache index found, skipping build...
21:56:49 | INFO | Dataset: 39063 slices
21:56:49 | INFO | Dataset: 4729 slices
21:56:49 | INFO | Train subjects: 204 | slices: 39063 | batches/epoch: 4882
21:56:49 | INFO | Val   subjects: 25   | slices: 4729   | batches/epoch: 592
21:56:49 | INFO | Total params: 42.86 M
21:56:49 | INFO | Schedulers ready.
21:56:49 | INFO | N_EPOCHS: 100 | LR: 0.0001 | Batch: 8
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from WANDB_API_KEY.
wandb: Currently logged in as: rahul23082001jha to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run pkp0qkmj
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /workspace/Brats/wandb/run-20260404_215651-pkp0qkmj
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run light-firefly-10
wandb: ⭐️ View project at https://wandb.ai/rahul23082001jha/Brats
wandb: 🚀 View run at https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
21:56:58 | INFO | W&B run: https://wandb.ai/rahul23082001jha/Brats/runs/pkp0qkmj
22:06:04 | INFO | E0001 | step 4600/4882 | loss=0.00367 | grad=0.032 | t=[72,750]
22:06:16 | INFO | E0001 | step 4700/4882 | loss=0.00323 | grad=0.039 | t=[63,989]
22:06:27 | INFO | E0001 | step 4800/4882 | loss=0.00806 | grad=0.078 | t=[73,869]
22:06:37 | INFO | E0001 | step 4882/4882 | loss=0.00221 | grad=0.044 | t=[87,764]
22:07:03 | INFO | Epoch 0001/100 | train=0.01262 | val=0.02478 | best=inf (e-1) | lr=1.00e-04 | steps=4882/4882 | VRAM=0.8/13.1GB | time=605.1s
22:07:03 | INFO |   ★ New best val=0.02478 at epoch 1
22:07:04 | INFO |   Checkpoint saved → diffusion_best_e0001.pt
22:07:38 | INFO |   Uploaded to W&B
22:07:50 | INFO | E0002 | step 0100/4882 | loss=0.00306 | grad=0.022 | t=[176,747]
22:08:02 | INFO | E0002 | step 0200/4882 | loss=0.00097 | grad=0.056 | t=[229,964]
22:08:14 | INFO | E0002 | step 0300/4882 | loss=0.00579 | grad=0.073 | t=[34,932]
22:08:26 | INFO | E0002 | step 0400/4882 | loss=0.00444 | grad=0.052 | t=[92,891]
22:08:37 | INFO | E0002 | step 0500/4882 | loss=0.00728 | grad=0.028 | t=[73,874]
22:08:49 | INFO | E0002 | step 0600/4882 | loss=0.00809 | grad=0.091 | t=[49,887]
22:09:01 | INFO | E0002 | step 0700/4882 | loss=0.00212 | grad=0.037 | t=[102,868]
22:09:13 | INFO | E0002 | step 0800/4882 | loss=0.00287 | grad=0.065 | t=[193,838]
22:09:24 | INFO | E0002 | step 0900/4882 | loss=0.00239 | grad=0.040 | t=[72,969]
22:09:36 | INFO | E0002 | step 1000/4882 | loss=0.00112 | grad=0.027 | t=[216,969]
22:09:48 | INFO | E0002 | step 1100/4882 | loss=0.00302 | grad=0.046 | t=[157,943]
22:10:00 | INFO | E0002 | step 1200/4882 | loss=0.00325 | grad=0.025 | t=[167,775]
22:10:11 | INFO | E0002 | step 1300/4882 | loss=0.00427 | grad=0.064 | t=[63,811]
22:10:23 | INFO | E0002 | step 1400/4882 | loss=0.00681 | grad=0.044 | t=[14,523]
22:10:35 | INFO | E0002 | step 1500/4882 | loss=0.00484 | grad=0.065 | t=[5,970]
22:10:47 | INFO | E0002 | step 1600/4882 | loss=0.00154 | grad=0.047 | t=[123,889]
22:10:58 | INFO | E0002 | step 1700/4882 | loss=0.00143 | grad=0.020 | t=[101,995]
22:11:10 | INFO | E0002 | step 1800/4882 | loss=0.01058 | grad=0.116 | t=[0,751]
